County,Parent,StateFIPS,CountyFIPS,Per capita,Median Household,Median Family,Population,Number of households,Year
Indiana,,,,,,,,,
Adams,Indiana,18,1,19089,43317,53106,34387,12011,2016
Allen,Indiana,18,3,24532,48714,60184,355329,137851,2016
Bartholomew,Indiana,18,5,26860,52742,64024,76794,29860,2016
Benton,Indiana,18,7,21949,46318,58661,8854,3479,2016
Blackford,Indiana,18,9,21783,41989,47287,12766,5236,2016
Boone,Indiana,18,11,38696,68594,81401,56640,21149,2016
Brown,Indiana,18,13,24312,50139,56911,15242,6199,2016
Carroll,Indiana,18,15,23163,48055,60420,20155,7900,2016
Cass,Indiana,18,17,20562,42587,49873,38966,14858,2016
Clark,Indiana,18,19,23592,47368,58090,110232,44248,2016
Clay,Indiana,18,21,20569,44666,52907,26890,10447,2016
Clinton,Indiana,18,23,21131,48416,57445,33224,12105,2016
Crawford,Indiana,18,25,18598,37988,46073,10713,4303,2016
Daviess,Indiana,18,27,20254,44592,53769,31648,11329,2016
Dearborn,Indiana,18,29,25023,56789,66561,50047,18743,2016
Decatur,Indiana,18,31,22719,46894,52308,25740,9977,2016
DeKalb,Indiana,18,33,21779,46722,55280,42223,15951,2016
Delaware,Indiana,18,35,20405,38066,51394,117671,46516,2016
Dubois,Indiana,18,37,24801,52871,64286,41889,16133,2016
Elkhart,Indiana,18,39,22187,47258,53742,197559,70244,2016
Fayette,Indiana,18,41,18928,37038,46601,24277,9719,2016
Floyd,Indiana,18,43,25971,52422,63139,74578,29479,2016
Fountain,Indiana,18,45,20949,42817,51696,17240,6935,2016
Franklin,Indiana,18,47,23090,51649,60300,23087,8579,2016
Fulton,Indiana,18,49,21119,40372,47972,20836,8237,2016
Gibson,Indiana,18,51,22542,46872,61652,33503,13255,2016
Grant,Indiana,18,53,19792,38985,49860,70061,27245,2016
Greene,Indiana,18,55,20676,41103,50740,33165,13487,2016
Hamilton,Indiana,18,57,38500,81947,95376,274569,99835,2016
Hancock,Indiana,18,59,28017,69052,69734,70002,26304,2016
